dataset,fold,param_name,param_value,classic_acc,classic_mcc,classic_prauc,classic_nodes,classic_depth,metacog_acc,metacog_mcc,metacog_prauc,metacog_nodes,metacog_depth
diabetes,2,gamma,0.2,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,gamma,0.5,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,gamma,0.5,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,gamma,0.5,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,gamma,0.5,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,gamma,0.5,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,gamma,0.5,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,gamma,0.5,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,gamma,0.5,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,gamma,0.5,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,gamma,0.5,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,gamma,0.5,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,gamma,0.5,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,gamma,0.8,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,gamma,0.8,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,gamma,0.8,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,gamma,0.8,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,gamma,0.8,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,gamma,0.8,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,gamma,0.8,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,gamma,0.8,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,gamma,0.8,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,gamma,0.8,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,gamma,0.8,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,gamma,0.8,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_1,0.0,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_1,0.0,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_1,0.0,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_1,0.0,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_1,0.0,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_1,0.0,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_1,0.0,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_1,0.0,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_1,0.0,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_1,0.0,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_1,0.0,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_1,0.0,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_1,0.3,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_1,0.3,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_1,0.3,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_1,0.3,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_1,0.3,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_1,0.3,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_1,0.3,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_1,0.3,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_1,0.3,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_1,0.3,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_1,0.3,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_1,0.3,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_1,1.0,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_1,1.0,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_1,1.0,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_1,1.0,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_1,1.0,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_1,1.0,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_1,1.0,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_1,1.0,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_1,1.0,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_1,1.0,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_1,1.0,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_1,1.0,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_1,1.5,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_1,1.5,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_1,1.5,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_1,1.5,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_1,1.5,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_1,1.5,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_1,1.5,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_1,1.5,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_1,1.5,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_1,1.5,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_1,1.5,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_1,1.5,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_2,0.0,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_2,0.0,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_2,0.0,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_2,0.0,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_2,0.0,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_2,0.0,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_2,0.0,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_2,0.0,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_2,0.0,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_2,0.0,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_2,0.0,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_2,0.0,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_2,0.3,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_2,0.3,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_2,0.3,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_2,0.3,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_2,0.3,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_2,0.3,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_2,0.3,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_2,0.3,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_2,0.3,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_2,0.3,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_2,0.3,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_2,0.3,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_2,1.0,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_2,1.0,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_2,1.0,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_2,1.0,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_2,1.0,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_2,1.0,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_2,1.0,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_2,1.0,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_2,1.0,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_2,1.0,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_2,1.0,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_2,1.0,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
iris,0,lambda_2,1.5,1.0,1.0,,17,7,0.3333333333333333,0.0,,1,1
iris,1,lambda_2,1.5,0.9333333333333333,0.9060606745389328,,13,6,0.3333333333333333,0.0,,1,1
iris,2,lambda_2,1.5,1.0,1.0,,13,6,0.3333333333333333,0.0,,1,1
breast-w,0,lambda_2,1.5,0.9571428571428572,0.9043979326236096,0.9053830227743271,69,19,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,1,lambda_2,1.5,0.9285714285714286,0.843464979891126,0.8688492063492063,55,10,0.6571428571428571,0.0,0.34285714285714286,1,1
breast-w,2,lambda_2,1.5,0.9285714285714286,0.8403211560207222,0.8762806637806637,57,10,0.6571428571428571,0.0,0.34285714285714286,1,1
balance-scale,0,lambda_2,1.5,0.6984126984126984,0.5335843922113052,,153,13,0.4603174603174603,0.0,,1,1
balance-scale,1,lambda_2,1.5,0.7777777777777778,0.6176931109168295,,161,14,0.4603174603174603,0.0,,1,1
balance-scale,2,lambda_2,1.5,0.8253968253968254,0.6971906806556257,,163,15,0.4603174603174603,0.0,,1,1
diabetes,0,lambda_2,1.5,0.7662337662337663,0.46322369481325704,0.6139734908671957,119,21,0.6493506493506493,0.0,0.35064935064935066,1,1
diabetes,1,lambda_2,1.5,0.7662337662337663,0.4866666666666667,0.6595415014955245,107,21,0.7012987012987013,0.2828446668813028,0.4412217412217412,3,2
diabetes,2,lambda_2,1.5,0.7142857142857143,0.3837065760234115,0.5452170564034275,103,21,0.6493506493506493,0.0,0.35064935064935066,1,1
